TmdbId,MovieTitle,Popularity,ReleaseDate,Revenue,Runtime
862,Toy Story,21.946943,35002,373554033,0081.0
8844,Jumanji,17.015539,35048,262797249,0104.0
31357,Waiting to Exhale,3.859495,35055,81452156,0127.0
11862,Father of the Bride Part II,8.387519,34740,76578911,0106.0
949,Heat,17.924927,35048,187436818,0170.0
9091,Sudden Death,5.23158,35055,64350171,0106.0
710,GoldenEye,14.686036,35019,352194034,0130.0
9087,The American President,6.318445,35020,107879496,0106.0
21032,Balto,12.140733,35055,11348324,0078.0
10858,Nixon,5.092,35055,13681765,0192.0
1408,Cutthroat Island,7.284477,35055,10017322,0119.0
524,Casino,10.137389,35025,116112375,0178.0
4584,Sense and Sensibility,10.673167,35046,135000000,0136.0
5,Four Rooms,9.026586,35042,4300000,0098.0
9273,Ace Ventura: When Nature Calls,8.205448,35013,212385533,0090.0
11517,Money Train,7.337906,35024,35431113,0103.0
8012,Get Shorty,12.669608,34992,115101622,0105.0
9691,Assassins,11.065939,34978,30303072,0132.0
451,Leaving Las Vegas,10.332025,34999,49800000,0112.0
9263,Now and Then,8.681325,34992,27400000,0100.0
902,La CitÃ© des Enfants Perdus,9.822423,34835,1738611,0108.0
9909,Dangerous Minds,9.481338,34922,180000000,0099.0
63,Twelve Monkeys,12.297305,35062,168840000,0129.0
9598,Babe,14.404764,34898,254134910,0089.0
687,Dead Man Walking,6.891317,35062,39363635,0122.0
34615,"Cry, the Beloved Country",0.894647,35048,676525,0106.0
9312,Mortal Kombat,10.870138,34929,122195920,0101.0
577,To Die For,10.448481,34839,21284514,0106.0
11861,How To Make An American Quilt,4.485958,34978,23574130,0116.0
807,Se7en,18.45743,34964,327311859,0127.0
10530,Pocahontas,13.280069,34864,346079773,0081.0
629,The Usual Suspects,16.302466,34899,23341568,0106.0
11448,Mighty Aphrodite,15.899134,34955,6700000,0095.0
9089,Home for the Holidays,8.416802,35005,17519169,0103.0
2054,Mr. Holland's Opus,7.137117,35062,106269971,0137.0
11525,Lawnmower Man 2: Beyond Cyberspace,2.49535,35076,2409225,0092.0
10634,Friday,14.56965,34815,28215918,0091.0
755,From Dusk Till Dawn,15.339153,35083,25836616,0108.0
11859,Fair Game,5.912223,35006,11534477,0091.0
28387,Kicking and Screaming,3.367276,34978,718490,0096.0
20927,Bed of Roses,10.412194,35090,19030691,0087.0
36929,Big Bully,2.936443,35090,2042530,0090.0
9102,Screamers,12.758848,34950,5781885,0108.0
400,Things to Do in Denver When You're Dead,4.486179,35034,529766,0116.0
10534,White Squall,9.568604,35097,10300000,0129.0
13997,Black Sheep,8.963037,35096,32,0087.0
2086,Nick of Time,6.848591,35025,8175346,0090.0
9095,Mary Reilly,12.866139,35118,12379402,0104.0
12158,Vampire in Brooklyn,9.071127,34998,19800000,0100.0
9208,Broken Arrow,14.957626,35104,150270147,0108.0
13685,Bottle Rocket,6.904831,35116,560069,0091.0
9614,Happy Gilmore,9.592265,35111,41205099,0092.0
688,The Bridges of Madison County,5.951077,34847,182016617,0135.0
10874,Muppet Treasure Island,6.902423,35111,34327391,0100.0
197,Braveheart,20.755149,34843,210000000,0177.0
103,Taxi Driver,14.092713,27797,28262574,0114.0
33542,ç´…ç•ªå�€,12.314278,34729,32392047,0091.0
51352,Anne Frank Remembered,0.243986,34858,1,0117.0
78406,Steal Big Steal Little,1.522412,34971,6278139,0113.0
11066,Boomerang,6.506983,33785,70100000,0117.0
2074,Flirting with Disaster,5.579088,35146,14702438,0092.0
11863,Jade,11.418917,34985,9851610,0095.0
